ID,ACTIVATED,IN_REPAIR_SYSTEM,STILL_ALIVE,Lifetime
0,1/31/2019,,TRUE,593
1,12/4/2018,,TRUE,651
2,4/18/2019,,TRUE,516
3,3/5/2019,,TRUE,560
4,12/6/2018,,TRUE,649
5,3/20/2019,,TRUE,545
6,4/24/2019,,TRUE,510
7,7/9/2019,,TRUE,434
8,12/12/2018,,TRUE,643
9,6/14/2019,,TRUE,459
10,6/25/2019,,TRUE,448
11,12/11/2018,,TRUE,644
12,1/10/2019,,TRUE,614
13,10/17/2018,,TRUE,699
14,2/6/2019,,TRUE,587
15,7/2/2019,,TRUE,441
16,1/21/2019,,TRUE,603
17,4/16/2019,,TRUE,518
18,11/3/2018,,TRUE,682
19,4/8/2019,,TRUE,526
20,10/9/2018,,TRUE,707
21,8/6/2019,,TRUE,406
22,9/6/2018,,TRUE,740
23,7/2/2019,,TRUE,441
24,5/29/2019,,TRUE,475
25,4/16/2019,,TRUE,518
26,3/11/2019,,TRUE,554
27,4/15/2019,,TRUE,519
28,1/25/2019,,TRUE,599
29,7/15/2019,,TRUE,428
30,7/24/2019,,TRUE,419
31,9/21/2018,,TRUE,725
32,3/12/2019,,TRUE,553
33,7/15/2019,,TRUE,428
34,9/4/2018,,TRUE,742
35,5/3/2019,,TRUE,501
36,12/3/2018,,TRUE,652
37,10/18/2018,,TRUE,698
38,5/28/2019,,TRUE,476
39,11/14/2018,,TRUE,671
40,9/11/2018,,TRUE,735
41,9/10/2018,,TRUE,736
42,7/20/2019,,TRUE,423
43,4/30/2019,,TRUE,504
44,3/13/2019,,TRUE,552
45,9/14/2018,,TRUE,732
46,4/24/2019,,TRUE,510
47,2/1/2019,,TRUE,592
48,10/22/2018,,TRUE,694
49,11/28/2018,,TRUE,657
50,4/22/2019,,TRUE,512
51,7/31/2019,,TRUE,412
52,7/18/2019,,TRUE,425
53,4/9/2019,,TRUE,525
54,7/11/2019,,TRUE,432
55,10/9/2018,,TRUE,707
56,4/2/2019,,TRUE,532
57,4/18/2019,,TRUE,516
58,4/10/2019,,TRUE,524
59,6/20/2019,,TRUE,453
60,6/26/2019,,TRUE,447
61,3/21/2019,,TRUE,544
62,6/10/2019,,TRUE,463
63,3/14/2019,,TRUE,551
64,6/7/2019,,TRUE,466
65,1/15/2019,,TRUE,609
66,2/23/2019,,TRUE,570
67,1/18/2019,,TRUE,606
68,11/30/2018,,TRUE,655
69,2/27/2019,,TRUE,566
70,7/19/2019,,TRUE,424
71,7/18/2019,,TRUE,425
72,9/17/2018,,TRUE,729
73,11/16/2018,,TRUE,669
74,7/10/2019,,TRUE,433
75,11/9/2018,,TRUE,676
76,5/30/2019,,TRUE,474
77,6/20/2019,,TRUE,453
78,1/16/2019,,TRUE,608
79,11/28/2018,,TRUE,657
80,6/5/2019,,TRUE,468
81,7/30/2019,,TRUE,413
82,2/1/2019,,TRUE,592
83,7/30/2019,,TRUE,413
84,5/29/2019,,TRUE,475
85,9/7/2018,,TRUE,739
86,6/6/2019,,TRUE,467
87,4/17/2019,,TRUE,517
88,11/2/2018,,TRUE,683
89,6/10/2019,,TRUE,463
90,3/11/2019,,TRUE,554
91,5/15/2019,,TRUE,489
92,3/20/2019,,TRUE,545
93,11/8/2018,,TRUE,677
94,3/15/2019,,TRUE,550
95,3/25/2019,,TRUE,540
96,5/29/2019,,TRUE,475
97,1/15/2019,,TRUE,609
98,11/17/2018,,TRUE,668
99,1/22/2019,,TRUE,602
100,9/4/2018,,TRUE,742
101,8/5/2019,,TRUE,407
102,1/18/2019,,TRUE,606
103,5/29/2019,,TRUE,475
104,3/1/2019,,TRUE,564
105,4/8/2019,,TRUE,526
106,6/5/2019,,TRUE,468
107,10/23/2018,,TRUE,693
108,11/8/2018,,TRUE,677
109,6/26/2019,,TRUE,447
110,1/29/2019,,TRUE,595
111,3/20/2019,,TRUE,545
112,6/28/2019,,TRUE,445
113,6/14/2019,,TRUE,459
114,10/11/2018,,TRUE,705
115,3/5/2019,,TRUE,560
116,4/9/2019,,TRUE,525
117,3/15/2019,,TRUE,550
118,6/28/2019,,TRUE,445
119,3/27/2019,,TRUE,538
120,2/27/2019,,TRUE,566
121,8/8/2019,,TRUE,404
122,1/17/2019,,TRUE,607
123,12/5/2018,,TRUE,650
124,10/12/2018,,TRUE,704
125,9/19/2018,,TRUE,727
126,5/7/2019,,TRUE,497
127,8/1/2019,,TRUE,411
128,12/31/2018,,TRUE,624
129,9/5/2018,,TRUE,741
130,10/3/2018,,TRUE,713
131,9/7/2018,,TRUE,739
132,10/18/2018,,TRUE,698
133,3/21/2019,,TRUE,544
134,4/18/2019,,TRUE,516
135,8/2/2019,,TRUE,410
136,6/10/2019,,TRUE,463
137,7/8/2019,,TRUE,435
138,12/13/2018,,TRUE,642
139,9/27/2018,,TRUE,719
140,6/14/2019,,TRUE,459
141,4/15/2019,,TRUE,519
142,2/26/2019,,TRUE,567
143,3/20/2019,,TRUE,545
144,6/11/2019,,TRUE,462
145,6/17/2019,,TRUE,456
146,9/3/2018,,TRUE,743
147,4/16/2019,,TRUE,518
148,6/27/2019,,TRUE,446
149,5/8/2019,,TRUE,496
150,4/17/2019,,TRUE,517
151,10/18/2018,,TRUE,698
152,4/2/2019,,TRUE,532
153,6/17/2019,,TRUE,456
154,3/27/2019,,TRUE,538
155,3/1/2019,,TRUE,564
156,7/13/2019,,TRUE,430
157,4/25/2019,,TRUE,509
158,4/17/2019,,TRUE,517
159,4/8/2019,,TRUE,526
160,4/15/2019,,TRUE,519
161,4/4/2019,,TRUE,530
162,7/11/2019,,TRUE,432
163,8/9/2019,,TRUE,403
164,10/8/2018,,TRUE,708
165,12/18/2018,,TRUE,637
166,7/23/2019,,TRUE,420
167,4/30/2019,,TRUE,504
168,7/22/2019,,TRUE,421
169,1/9/2019,,TRUE,615
170,7/13/2019,,TRUE,430
171,3/20/2019,,TRUE,545
172,12/3/2018,,TRUE,652
173,4/23/2019,,TRUE,511
174,10/5/2018,,TRUE,711
175,5/27/2019,,TRUE,477
176,4/16/2019,,TRUE,518
177,2/4/2019,,TRUE,589
178,6/11/2019,,TRUE,462
179,3/19/2019,,TRUE,546
180,2/14/2019,,TRUE,579
181,4/4/2019,,TRUE,530
182,7/20/2019,,TRUE,423
183,6/20/2019,,TRUE,453
184,1/10/2019,,TRUE,614
185,11/6/2018,,TRUE,679
186,4/10/2019,,TRUE,524
187,4/9/2019,,TRUE,525
188,1/23/2019,,TRUE,601
189,4/23/2019,,TRUE,511
190,11/3/2018,,TRUE,682
191,4/15/2019,,TRUE,519
192,7/19/2019,,TRUE,424
193,6/17/2019,,TRUE,456
194,11/2/2018,,TRUE,683
195,1/4/2019,,TRUE,620
196,12/13/2018,,TRUE,642
197,3/25/2019,,TRUE,540
198,7/2/2019,,TRUE,441
199,8/1/2019,,TRUE,411
200,3/25/2019,,TRUE,540
201,7/17/2019,,TRUE,426
202,5/27/2019,,TRUE,477
203,5/30/2019,,TRUE,474
204,3/20/2019,,TRUE,545
205,8/6/2019,,TRUE,406
206,2/26/2019,,TRUE,567
207,5/11/2019,,TRUE,493
208,7/19/2019,,TRUE,424
209,7/22/2019,,TRUE,421
210,11/13/2018,,TRUE,672
211,11/1/2018,,TRUE,684
212,12/18/2018,,TRUE,637
213,7/2/2019,,TRUE,441
214,6/14/2019,,TRUE,459
215,10/3/2018,,TRUE,713
216,9/25/2018,,TRUE,721
217,4/23/2019,,TRUE,511
218,4/12/2019,,TRUE,522
